[IP]
 1. Garrett Crochet | BOS | SP | 6.100
 7. Brooks Raley | NYM | RP | 0.630
 8. Bradgley Rodriguez | SD | RP | 0.710
 9. Justin Martinez | AZ | RP | 0.710
10. Erik Sabrowski | CLE | RP | 0.730

[ERA]
 1. Hunter Harvey | CHC | RP | 0.000
 2. Jose Espada | BAL | RP | 0.000
 3. Hunter Barco | PIT | SP,RP | 0.000
 4. Evan Phillips | LAD | RP | 0.000
 5. Nick Raquet | STL | RP | 0.000
 6. Jhonathan Díaz | SEA | RP | 0.000
 7. Justin Lawrence | PIT | RP | 0.510
 8. Ron Marinaccio | SD | RP | 0.840
 9. Austin Warren | NYM | RP | 0.960
10. Aroldis Chapman | BOS | RP | 1.170

[WHIP]
 1. Jose Espada | BAL | RP | 0.330
 2. Nick Raquet | STL | RP | 0.500
 3. Cody Laweryson | MIN | RP | 0.520
 4. Hunter Harvey | CHC | RP | 0.660
 5. Joey Gerber | NYM | SP,RP | 0.690
 6. Aroldis Chapman | BOS | RP | 0.700
 7. Jhonathan Díaz | SEA | RP | 0.750
 8. Brooks Raley | NYM | RP | 0.780
 9. Shawn Armstrong | CLE | RP | 0.810
10. Nathan Eovaldi | TEX | SP | 0.850

[QS]
 1. Spencer Schwellenbach | ATL | SP | 0.760
 2. Trevor Rogers | BAL | SP | 0.720
 3. Bryan Woo | SEA | SP | 0.700
 4. Garrett Crochet | BOS | SP | 0.690
 5. Cristopher Sanchez | PHI | SP | 0.690
 6. Cristopher Sánchez | PHI | SP | 0.690
 7. Tarik Skubal | DET | SP | 0.680
 8. Hunter Brown | HOU | SP | 0.680
 9. Zack Wheeler | PHI | SP | 0.670
10. Trevor McDonald | SF | SP,RP | 0.670
