Rank | Name | Position | Team | Type | Overall Score (0-100)
 1. Aaron Judge | OF | NYY | batter | 100.00
297. José Fermín | 2B | STL | batter | 26.92
298. Brooks Baldwin | 2B,3B,SS,OF | CWS | batter | 26.83
299. Tyler Black | 1B | MIL | batter | 26.73
300. Ramón Urías | 2B,3B | STL | batter | 26.58
301. Davis Schneider | 2B,OF | TOR | batter | 26.54
302. Rhylan Thomas | OF | SEA | batter | 26.53
303. Kristian Campbell | 2B,OF | BOS | batter | 26.45
304. Tomás Nido | C | DET | batter | 26.28
305. Denzel Clarke | OF | ATH | batter | 26.24
306. Enmanuel Valdez | 1B | PIT | batter | 26.15
307. Carlos Santana | 1B | AZ | batter | 25.91
308. Eli White | OF | ATL | batter | 25.65
309. Will Benson | OF | CIN | batter | 25.63
310. Victor Scott II | OF | STL | batter | 25.61
311. Luis Rengifo | 2B,3B,OF | MIL | batter | 25.58
312. Jake McCarthy | OF | COL | batter | 25.49
313. Oswaldo Cabrera | 3B | NYY | batter | 24.99
314. Miguel Rojas | 2B,3B,SS | LAD | batter | 24.94
315. Alek Thomas | OF | AZ | batter | 24.82
316. George Valera | OF | CLE | batter | 24.71
317. Rowdy Tellez | 1B | TEX | batter | 24.58
318. Bo Naylor | C | CLE | batter | 24.58
319. Nacho Alvarez Jr. | 3B | ATL | batter | 24.46
320. Paul DeJong | 2B,3B,SS | NYY | batter | 24.44
321. Jake Fraley | OF | TB | batter | 24.22
322. Joey Ortiz | SS | MIL | batter | 24.07
323. Zach Dezenzo | OF | HOU | batter | 23.89
324. Marcelo Mayer | 2B,3B | BOS | batter | 23.73
325. Ke'Bryan Hayes | 3B | CIN | batter | 23.69
326. Tyrone Taylor | OF | NYM | batter | 23.62
327. Samuel Basallo | C | BAL | batter | 23.17
328. Jake Bauers | 1B,OF | MIL | batter | 23.08
329. Nolan Gorman | 2B,3B | STL | batter | 22.75
330. Kyle Isbel | OF | KC | batter | 22.04
331. Mauricio Dubón | 2B,3B,SS,OF | ATL | batter | 21.97
332. Luis Urías | 2B,3B | ATH | batter | 21.78
333. Pedro Pagés | C | STL | batter | 21.71
334. Tristan Gray | 2B,SS | MIN | batter | 21.63
335. Michael Conforto | OF | CHC | batter | 21.61
336. Taylor Walls | SS | TB | batter | 21.49
337. Daniel Schneemann | 2B,3B,SS,OF | CLE | batter | 21.04
338. Maximo Acosta | SS | MIA | batter | 20.84
339. Ryan Fitzgerald | SS | LAD | batter | 20.48
340. Christopher Morel | OF | MIA | batter | 20.44
341. Myles Straw | OF | TOR | batter | 19.61
342. Randal Grichuk | OF | KC | batter | 19.59
343. Logan O'Hoppe | C | LAA | batter | 19.49
344. Dane Myers | OF | CIN | batter | 19.45
345. Brady House | 3B | WSH | batter | 19.39
346. Patrick Bailey | C | SF | batter | 18.34
347. Jonah Heim | C | ATL | batter | 18.04
348. Jose Iglesias | 2B,3B,SS | SD | batter | 16.57
349. Jacob Young | OF | WSH | batter | 16.36
350. Jerar Encarnacion | OF | SF | batter | 15.18
351. Jac Caglianone | 1B,OF | KC | batter | 14.42
352. Anthony Santander | OF | TOR | batter | 11.70
353. David Hamilton | 2B,SS | MIL | batter | 11.49
354. Dylan Moore | 1B,2B,3B,OF | PHI | batter | 10.97
355. Bryce Eldridge | 1B | SF | batter | 0.00
